pro_num,pro_title,file_name,tag,pro_link
790,Domino and Tromino Tiling,790_domino.md,dp,domino-and-tromino-tiling
2389,Longest Subsequence With Limited Sum,2389_long_sub.md,sort/greedy/prefix/binary-search,longest-subsequence-with-limited-sum
55,Jump Game,55_jump_game.md,dp,jump-game
2279,Maximum Bags With Full Capacity of Rocks,2279_max_bag.md,greedy/sort,maximum-bags-with-full-capacity-of-rocks
1962,Remove Stones to Minimize the Total,1962_remove_min_stone.md,heap,remove-stones-to-minimize-the-total
1834,Single-Threaded CPU,1834_single_cpu.md,heap/sort,single-threaded-cpu
797,All Paths From Source to Target,797_all_path.md,graph/backtracking,all-paths-from-source-to-target
980,Unique Paths III,980_unique_path_III.md,backtracking,unique-paths-iii
290,Word Pattern,290_word_pattern.md,hash,word-pattern
520,Detect Capital,520_detect_capital.md,string,detect-capital
944,Delete Columns to Make Sorted,944_delete_columns.md,string,delete-columns-to-make-sorted
2244,Minimum Rounds to Complete All Tasks,2244_minimum_rounds.md,hash/greedy,minimum-rounds-to-complete-all-tasks
452,Minimum Number of Arrows to Burst Balloons,452_minimum_num_arrows.md,sort/greedy,minimum-number-of-arrows-to-burst-balloons
1833,Maximum Ice Cream Bars,1833_maximum_ice.md,sort/greedy,maximum-ice-cream-bars
